,Date,Price,Open,High,Low,Vol.,Change %
731,11/02/2020,202.33,204.29,205.28,200.12,30.84,-0.07%
732,10/30/2020,202.47,203.5,204.29,199.62,36.98,-1.10%
733,10/29/2020,204.72,204.07,207.36,203.37,31.43,1.01%
734,10/28/2020,202.68,207.67,208.84,202.1,51.2,-4.96%
735,10/27/2020,213.25,211.59,214.67,210.33,36.7,1.51%
736,10/26/2020,210.08,213.85,216.34,208.1,37.11,-2.84%
737,10/23/2020,216.23,215.03,216.28,213.16,18.88,0.62%
738,10/22/2020,214.89,213.93,216.05,211.7,22.35,0.04%
739,10/21/2020,214.8,213.12,216.92,213.12,22.72,0.07%
740,10/20/2020,214.65,215.8,217.37,213.09,22.75,0.20%
741,10/19/2020,214.22,220.41,222.3,213.72,27.63,-2.48%
742,10/16/2020,219.66,220.15,222.29,219.32,26.06,0.00%
743,10/15/2020,219.66,217.1,220.36,216.01,22.73,-0.54%
744,10/14/2020,220.86,223.0,224.22,219.13,23.45,-0.90%
745,10/13/2020,222.86,222.72,225.21,220.43,28.95,0.66%
746,10/12/2020,221.4,218.79,223.86,216.81,40.46,2.59%
747,10/09/2020,215.81,211.23,215.86,211.23,26.46,2.48%
748,10/08/2020,210.58,210.51,211.19,208.32,19.93,0.36%
749,10/07/2020,209.83,207.06,210.11,206.72,25.68,1.90%
750,10/06/2020,205.91,208.82,210.18,204.82,28.55,-2.12%
751,10/05/2020,210.38,207.22,210.41,206.98,21.33,2.03%
752,10/02/2020,206.19,208.0,210.99,205.54,33.15,-2.95%
753,10/01/2020,212.46,213.49,213.99,211.32,27.16,1.01%
754,09/30/2020,210.33,207.73,211.98,206.54,33.83,1.48%
755,09/29/2020,207.26,209.35,210.07,206.81,24.46,-1.04%
756,09/28/2020,209.44,210.88,212.57,208.06,32.0,0.78%
757,09/25/2020,207.82,203.55,209.04,202.54,29.44,2.28%
758,09/24/2020,203.19,199.85,205.57,199.2,31.2,1.30%
759,09/23/2020,200.59,207.9,208.1,200.03,30.8,-3.29%
760,09/22/2020,207.42,205.06,208.1,202.07,33.52,2.41%
761,09/21/2020,202.54,197.19,202.71,196.38,39.84,1.07%
762,09/18/2020,200.39,202.8,203.65,196.25,55.23,-1.24%
763,09/17/2020,202.91,200.05,204.33,199.96,34.01,-1.04%
764,09/16/2020,205.05,210.62,210.65,204.64,26.37,-1.79%
765,09/15/2020,208.78,208.42,209.78,206.93,21.82,1.64%
766,09/14/2020,205.41,204.24,209.2,204.03,30.38,0.68%
767,09/11/2020,204.03,207.2,208.63,201.24,33.62,-0.65%
768,09/10/2020,205.37,213.4,214.74,204.11,35.46,-2.80%
769,09/09/2020,211.29,207.6,214.84,206.7,45.68,4.26%
770,09/08/2020,202.66,206.5,210.03,202.2,52.92,-5.41%
771,09/04/2020,214.25,215.1,218.36,205.19,59.66,-1.40%
772,09/03/2020,217.3,229.27,229.31,214.96,58.4,-6.19%
773,09/02/2020,231.65,227.97,232.86,227.35,34.08,1.93%
774,09/01/2020,227.27,225.51,227.45,224.43,25.79,0.77%
775,08/31/2020,225.53,227.0,228.7,224.31,28.77,-1.48%
776,08/28/2020,228.91,228.18,230.64,226.58,26.29,1.03%
777,08/27/2020,226.58,222.89,231.15,219.4,57.6,2.46%
778,08/26/2020,221.15,217.88,222.09,217.36,39.6,2.16%
779,08/25/2020,216.47,213.1,216.61,213.1,23.04,1.30%
780,08/24/2020,213.69,214.79,215.52,212.43,25.46,0.31%
781,08/21/2020,213.02,213.86,216.25,212.85,36.25,-0.73%
782,08/20/2020,214.58,209.54,215.0,208.91,26.98,2.33%
783,08/19/2020,209.7,211.49,212.1,209.25,27.63,-0.85%
784,08/18/2020,211.49,210.53,212.36,209.21,21.34,0.58%
785,08/17/2020,210.28,209.6,211.19,208.91,20.18,0.66%
786,08/14/2020,208.9,208.76,209.59,207.51,17.96,0.10%
787,08/13/2020,208.7,209.44,211.35,208.15,22.59,-0.23%
788,08/12/2020,209.19,205.29,210.28,204.75,28.04,2.86%
789,08/11/2020,203.38,207.15,207.65,203.14,36.45,-2.34%
790,08/10/2020,208.25,211.67,211.88,206.35,36.72,-1.99%
791,08/07/2020,212.48,214.85,215.7,210.93,27.82,-1.79%
792,08/06/2020,216.35,212.34,216.37,211.55,32.66,1.60%
793,08/05/2020,212.94,214.9,215.0,211.57,28.86,-0.16%
794,08/04/2020,213.29,214.17,214.77,210.31,49.28,-1.50%
795,08/03/2020,216.54,211.52,217.64,210.44,78.98,5.62%
796,07/31/2020,205.01,204.4,205.1,199.01,51.25,0.54%
797,07/30/2020,203.9,201.0,204.46,199.57,25.08,-0.08%
798,07/29/2020,204.06,202.5,204.65,202.01,19.63,1.01%
799,07/28/2020,202.02,203.61,204.7,201.74,23.25,-0.90%
800,07/27/2020,203.85,201.47,203.97,200.86,30.16,1.27%
801,07/24/2020,201.3,200.42,202.86,197.51,39.83,-0.61%
802,07/23/2020,202.54,207.19,210.92,202.15,67.46,-4.35%
803,07/22/2020,211.75,209.2,212.3,208.39,49.61,1.44%
804,07/21/2020,208.75,213.66,213.94,208.03,38.11,-1.35%
805,07/20/2020,211.6,205.0,212.3,203.01,36.88,4.30%
806,07/17/2020,202.88,204.47,205.04,201.39,31.64,-0.51%
807,07/16/2020,203.92,205.4,205.7,202.31,29.94,-1.98%
808,07/15/2020,208.04,209.56,211.33,205.03,32.18,-0.15%
809,07/14/2020,208.35,206.13,208.85,202.03,37.59,0.62%
810,07/13/2020,207.07,214.48,215.8,206.5,38.14,-3.09%
811,07/10/2020,213.67,213.62,214.08,211.08,26.18,-0.30%
812,07/09/2020,214.32,216.33,216.38,211.47,33.12,0.70%
813,07/08/2020,212.83,210.07,213.26,208.69,33.6,2.20%
814,07/07/2020,208.25,210.45,214.67,207.99,33.6,-1.16%
815,07/06/2020,210.7,208.83,211.13,208.09,31.9,2.15%
816,07/02/2020,206.26,205.68,208.02,205.0,29.32,0.76%
817,07/01/2020,204.7,203.14,206.35,201.77,32.06,0.58%
818,06/30/2020,203.51,197.88,204.4,197.74,34.31,2.55%
819,06/29/2020,198.44,195.78,198.53,193.55,26.7,1.07%
820,06/26/2020,196.33,199.73,199.89,194.88,54.68,-2.00%
821,06/25/2020,200.34,197.8,200.61,195.47,27.8,1.26%
822,06/24/2020,197.84,201.6,203.25,196.56,36.74,-2.02%
823,06/23/2020,201.91,202.09,203.95,201.43,30.92,0.67%
824,06/22/2020,200.57,195.79,200.76,195.23,32.82,2.78%
825,06/19/2020,195.15,198.59,199.29,194.37,44.44,-0.60%
826,06/18/2020,196.32,194.0,196.49,194.0,23.06,1.07%
827,06/17/2020,194.24,195.03,196.32,193.69,25.69,0.35%
828,06/16/2020,193.57,192.89,195.58,191.46,42.56,2.45%
829,06/15/2020,188.94,184.58,190.82,184.01,32.77,0.64%
830,06/12/2020,187.74,190.54,191.72,185.18,43.37,0.79%
831,06/11/2020,186.27,193.13,195.76,186.07,52.85,-5.37%
832,06/10/2020,196.84,191.13,198.52,191.01,43.87,3.71%
833,06/09/2020,189.8,188.0,190.7,187.26,29.78,0.76%
834,06/08/2020,188.36,185.94,188.55,184.44,33.21,0.62%
835,06/05/2020,187.2,182.62,187.73,182.01,39.89,2.34%
836,06/04/2020,182.92,184.3,185.84,182.3,28.76,-1.32%
837,06/03/2020,185.36,184.82,185.94,183.58,27.31,0.24%
838,06/02/2020,184.91,184.25,185.0,181.35,30.79,1.14%
839,06/01/2020,182.83,182.54,183.0,181.46,22.67,-0.23%
840,05/29/2020,183.25,182.73,184.27,180.41,42.15,1.02%
841,05/28/2020,181.4,180.83,184.14,180.42,33.83,-0.23%
842,05/27/2020,181.81,180.06,181.96,176.61,39.52,0.13%
843,05/26/2020,181.57,186.46,186.46,181.14,36.07,-1.06%
844,05/22/2020,183.51,183.19,184.46,182.54,20.83,0.04%
845,05/21/2020,183.43,185.6,186.66,183.31,29.12,-1.20%
846,05/20/2020,185.66,184.64,185.8,183.96,31.26,1.11%
847,05/19/2020,183.63,184.97,186.57,183.57,26.8,-0.69%
848,05/18/2020,184.91,185.32,186.2,184.06,35.31,0.96%
849,05/15/2020,183.16,179.15,183.46,177.02,46.61,1.46%
850,05/14/2020,180.53,177.6,180.65,175.7,41.87,0.43%
851,05/13/2020,179.75,182.55,184.03,176.61,44.71,-1.51%
852,05/12/2020,182.51,186.8,187.04,182.3,32.04,-2.27%
